Competition,Sex,Event,Round,RT,Result,RuleChange
Worlds,Mens,60m,1,0.148,Qualified,2010-2014
Worlds,Mens,60m,1,0.17,Qualified,2010-2014
Worlds,Mens,60m,1,0.216,Qualified,2010-2014
Worlds,Mens,60m,1,0.127,Qualified,2010-2014
Worlds,Mens,60m,1,0.164,Eliminated,2010-2014
Worlds,Mens,60m,1,0.206,Eliminated,2010-2014
Worlds,Mens,60m,1,0.158,Eliminated,2010-2014
Worlds,Mens,60m,1,0.185,Qualified,2010-2014
Worlds,Mens,60m,1,0.164,Qualified,2010-2014
Worlds,Mens,60m,1,0.15,Qualified,2010-2014
Worlds,Mens,60m,1,0.185,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.153,Eliminated,2010-2014
Worlds,Mens,60m,1,0.146,Eliminated,2010-2014
Worlds,Mens,60m,1,0.216,Eliminated,2010-2014
Worlds,Mens,60m,1,0.135,Qualified,2010-2014
Worlds,Mens,60m,1,0.13,Qualified,2010-2014
Worlds,Mens,60m,1,0.153,Qualified,2010-2014
Worlds,Mens,60m,1,0.166,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.151,Eliminated,2010-2014
Worlds,Mens,60m,1,0.187,Eliminated,2010-2014
Worlds,Mens,60m,1,0.203,Eliminated,2010-2014
Worlds,Mens,60m,1,NA,DNS,2010-2014
Worlds,Mens,60m,1,0.122,Qualified,2010-2014
Worlds,Mens,60m,1,0.156,Qualified,2010-2014
Worlds,Mens,60m,1,0.172,Qualified,2010-2014
Worlds,Mens,60m,1,0.175,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.143,Eliminated,2010-2014
Worlds,Mens,60m,1,0.139,Eliminated,2010-2014
Worlds,Mens,60m,1,0.199,Eliminated,2010-2014
Worlds,Mens,60m,1,0.28,Eliminated,2010-2014
Worlds,Mens,60m,1,0.143,Qualified,2010-2014
Worlds,Mens,60m,1,0.137,Qualified,2010-2014
Worlds,Mens,60m,1,0.19,Qualified,2010-2014
Worlds,Mens,60m,1,0.215,Eliminated,2010-2014
Worlds,Mens,60m,1,0.155,Eliminated,2010-2014
Worlds,Mens,60m,1,0.15,Eliminated,2010-2014
Worlds,Mens,60m,1,0.186,Eliminated,2010-2014
Worlds,Mens,60m,1,0.144,Qualified,2010-2014
Worlds,Mens,60m,1,0.147,Qualified,2010-2014
Worlds,Mens,60m,1,0.13,Qualified,2010-2014
Worlds,Mens,60m,1,0.123,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.138,FastestQualifier,2010-2014
Worlds,Mens,60m,1,0.185,Eliminated,2010-2014
