Competition,Sex,Event,Year,Venue,Round,Heat,Wind,Sprinter,FinishTime,ReactionTime,Result
Europeans,Womens,110m Hurdles,2014,Zurich,1,1,-1.5,Cindy Billaud,12.75,0.139,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,1,1,-1.5,Alina Talay,13.17,0.16,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,1,1,-1.5,Franziska Hofmann,13.21,0.137,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,1,1,-1.5,Caridad Jerez,13.23,0.134,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,1,1,-1.5,Yekaterina Galitskaya,13.24,0.143,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,1,1,-1.5,Lucie _krob‡kov‡,13.29,0.153,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,1,1,-1.5,Matilda Bogdanoff,13.39,0.144,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,1,2,-1.1,Anne Zagr_,12.86,0.167,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,1,2,-1.1,Cindy Roleder,12.91,0.138,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,1,2,-1.1,Marzia Caravelli,12.98,0.16,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,1,2,-1.1,Rosina Hodde,12.99,0.148,FastestQualifier
Europeans,Womens,110m Hurdles,2014,Zurich,1,2,-1.1,Svetlana Topylina,13.06,0.149,FastestQualifier
Europeans,Womens,110m Hurdles,2014,Zurich,1,2,-1.1,Karolina Ko_eczek,13.12,0.154,FastestQualifier
Europeans,Womens,110m Hurdles,2014,Zurich,1,2,-1.1,Ivana Lon_arek,13.2,0.149,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,1,2,-1.1,Sarah Lavin,13.35,0.168,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,1,3,0,Nadine Hildebrand,12.78,0.173,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,1,3,0,Sharona Bakker,12.85,0.127,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,1,3,0,Yuliya Kondakova,12.97,0.164,FastestQualifier
Europeans,Womens,110m Hurdles,2014,Zurich,1,3,0,Lisa Urech,13.05,0.156,FastestQualifier
Europeans,Womens,110m Hurdles,2014,Zurich,1,3,0,Marina Tomi_,13.12,0.141,FastestQualifier
Europeans,Womens,110m Hurdles,2014,Zurich,1,3,0,Ida Aidanp__,13.26,0.13,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,1,3,0,Sonata Tamo_aityt_,13.34,0.185,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,1,3,0,Lucie Koudelov‡,NA,0.146,DNF
Europeans,Womens,110m Hurdles,2014,Zurich,1,4,-2,Tiffany Porter,12.69,0.155,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,1,4,-2,Noemi Zb_ren,12.95,0.172,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,1,4,-2,Eline Berings,13,0.14,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,1,4,-2,Nadine Visser,13.12,0.169,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,1,4,-2,Isabelle Pedersen,13.17,0.174,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,1,4,-2,Nooralotta Neziri,13.17,0.126,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,1,4,-2,Elis‡vet Pesir’dou,13.27,0.165,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,1,4,-2,Beate Schrott,13.31,0.156,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,2,1,-0.8,Cindy Billaud,12.79,0.135,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,2,1,-0.8,Cindy Roleder,12.84,0.117,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,2,1,-0.8,Rosina Hodde,12.91,0.137,FastestQualifier
Europeans,Womens,110m Hurdles,2014,Zurich,2,1,-0.8,Nadine Hildebrand,12.92,0.149,FastestQualifier
Europeans,Womens,110m Hurdles,2014,Zurich,2,1,-0.8,Eline Berings,12.95,0.131,FastestQualifier
Europeans,Womens,110m Hurdles,2014,Zurich,2,1,-0.8,Noemi Zb_ren,13.01,0.183,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,2,1,-0.8,Marzia Caravelli,13.06,0.15,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,2,1,-0.8,Svetlana Topylina,13.27,0.157,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,2,1,-0.8,Marina Tomi_,13.32,0.139,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,2,2,-0.1,Tiffany Porter,12.63,0.169,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,2,2,-0.1,Anne Zagr_,12.83,0.168,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,2,2,-0.1,Alina Talay,12.94,0.15,Qualified
Europeans,Womens,110m Hurdles,2014,Zurich,2,2,-0.1,Sharona Bakker,13.02,0.141,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,2,2,-0.1,Lisa Urech,13.1,0.138,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,2,2,-0.1,Yuliya Kondakova,13.11,0.158,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,2,2,-0.1,Franziska Hofmann,13.14,0.133,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,2,2,-0.1,Karolina Ko_eczek,13.2,0.139,Eliminated
Europeans,Womens,110m Hurdles,2014,Zurich,3,1,-0.7,Tiffany Porter,12.76,0.144,Gold
Europeans,Womens,110m Hurdles,2014,Zurich,3,1,-0.7,Cindy Billaud,12.79,0.134,Silver
Europeans,Womens,110m Hurdles,2014,Zurich,3,1,-0.7,Cindy Roleder,12.82,0.138,Bronze
Europeans,Womens,110m Hurdles,2014,Zurich,3,1,-0.7,Anne Zagr_,12.89,0.154,Finalist
Europeans,Womens,110m Hurdles,2014,Zurich,3,1,-0.7,Alina Talay,12.97,0.125,Finalist
Europeans,Womens,110m Hurdles,2014,Zurich,3,1,-0.7,Nadine Hildebrand,13.01,0.154,Finalist
Europeans,Womens,110m Hurdles,2014,Zurich,3,1,-0.7,Rosina Hodde,13.08,0.154,Finalist
Europeans,Womens,110m Hurdles,2014,Zurich,3,1,-0.7,Eline Berings,13.24,0.129,Finalist
Europeans,Womens,110m Hurdles,2012,Helsinki,1,1,0.3,Nevin Yanõt,12.78,0.178,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,1,1,0.3,Katsiaryna Paplauskaya,12.97,0.176,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,1,1,0.3,Micol Cattaneo,13.07,0.18,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,1,1,0.3,Olga Samylova,13.11,0.137,FastestQualifier
Europeans,Womens,110m Hurdles,2012,Helsinki,1,1,0.3,Nadine Hildebrand,13.15,0.154,FastestQualifier
Europeans,Womens,110m Hurdles,2012,Helsinki,1,1,0.3,Elisa Leinonen,13.29,0.174,Eliminated
Europeans,Womens,110m Hurdles,2012,Helsinki,1,1,0.3,M—nica Lopes,13.83,0.282,Eliminated
Europeans,Womens,110m Hurdles,2012,Helsinki,1,2,-0.1,Beate Schrott,12.98,0.151,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,1,2,-0.1,Yuliya Kondakova,13.11,0.149,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,1,2,-0.1,Alice Decaux,13.13,0.162,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,1,2,-0.1,Anne Zagr_,13.14,0.165,FastestQualifier
Europeans,Womens,110m Hurdles,2012,Helsinki,1,2,-0.1,Christina Vukicevic,13.17,0.135,FastestQualifier
Europeans,Womens,110m Hurdles,2012,Helsinki,1,2,-0.1,Nooralotta Neziri,13.23,0.148,Eliminated
Europeans,Womens,110m Hurdles,2012,Helsinki,1,2,-0.1,Viorica _ig_u,13.59,0.176,Eliminated
Europeans,Womens,110m Hurdles,2012,Helsinki,1,3,-0.8,Marzia Caravelli,13.03,0.172,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,1,3,-0.8,Eline Berings,13.09,0.147,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,1,3,-0.8,Aisseta Diawara,13.1,0.153,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,1,3,-0.8,Marina Tomi_,13.36,0.153,Eliminated
Europeans,Womens,110m Hurdles,2012,Helsinki,1,3,-0.8,Victoria Schreibeis,13.39,0.196,Eliminated
Europeans,Womens,110m Hurdles,2012,Helsinki,1,3,-0.8,Sharona Bakker,13.59,0.164,Eliminated
Europeans,Womens,110m Hurdles,2012,Helsinki,1,3,-0.8,Gorana Cvijeti_,14.41,0.156,Eliminated
Europeans,Womens,110m Hurdles,2012,Helsinki,1,4,-0.4,Alina Talay,12.93,0.184,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,1,4,-0.4,Cindy Roleder,13.12,0.15,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,1,4,-0.4,Lucie _krob‡kov‡,13.17,0.18,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,1,4,-0.4,Cl_lia Reuse,13.25,0.146,Eliminated
Europeans,Womens,110m Hurdles,2012,Helsinki,1,4,-0.4,Isabelle Pedersen,13.38,0.184,Eliminated
Europeans,Womens,110m Hurdles,2012,Helsinki,1,4,-0.4,Giulia Pennella,13.43,0.191,Eliminated
Europeans,Womens,110m Hurdles,2012,Helsinki,1,4,-0.4,Sandra Gomis,13.63,0.174,Eliminated
Europeans,Womens,110m Hurdles,2012,Helsinki,2,1,-2.3,Alina Talay,13.03,0.185,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,2,1,-2.3,Beate Schrott,13.08,0.169,Qualified
Europeans,Womens,110m Hurdles,2012,Helsinki,2,1,-2.3,Micol Cattaneo,13.1,0.167,Qualified
