Competition,Sex,Event,Year,Venue,Round,Heat,Wind,Sprinter,FinishTime,ReactionTime,Result
Europeans,Womens,60m,2013,Gotenburg,1,1,NA,Verena Sailer,7.12,0.125,Qualified
Europeans,Womens,60m,2013,Gotenburg,1,1,NA,Dafne Schippers,7.15,0.161,Qualified
Europeans,Womens,60m,2013,Gotenburg,1,1,NA,Ivet Lalova,7.16,0.145,Qualified
Europeans,Womens,60m,2013,Gotenburg,1,1,NA,Hanna-Maari Latvala,7.25,0.152,Qualified
Europeans,Womens,60m,2013,Gotenburg,1,1,NA,Audrey Alloh,7.3,0.147,FastestQualifier
Europeans,Womens,60m,2013,Gotenburg,1,1,NA,Yuliya Katsura,7.36,0.154,FastestQualifier
Europeans,Womens,60m,2013,Gotenburg,1,1,NA,Folake Akinyemi,7.41,0.161,Eliminated
Europeans,Womens,60m,2013,Gotenburg,1,1,NA,Aksel Demirta_-GŸrcan,7.66,0.144,Eliminated
Europeans,Womens,60m,2013,Gotenburg,1,2,NA,Ezinne Okparaebo,7.13,0.146,Qualified
Europeans,Womens,60m,2013,Gotenburg,1,2,NA,Asha Philip,7.19,0.149,Qualified
Europeans,Womens,60m,2013,Gotenburg,1,2,NA,Kate_ina _echov‡,7.25,0.149,Qualified
Europeans,Womens,60m,2013,Gotenburg,1,2,NA,Nataliya Pohrebnyak,7.3,0.148,Qualified
Europeans,Womens,60m,2013,Gotenburg,1,2,NA,Ilenia Draisci,7.41,0.148,Eliminated
Europeans,Womens,60m,2013,Gotenburg,1,2,NA,Ramona Papaioannou,7.48,0.145,Eliminated
Europeans,Womens,60m,2013,Gotenburg,1,2,NA,Rebecca Camilleri,7.74,0.183,Eliminated
Europeans,Womens,60m,2013,Gotenburg,1,3,NA,Mariya Ryemyen,7.12,0.16,Qualified
Europeans,Womens,60m,2013,Gotenburg,1,3,NA,Myriam Soumar_,7.16,0.155,Qualified
Europeans,Womens,60m,2013,Gotenburg,1,3,NA,Jamile Samuel,7.34,0.18,Qualified
Europeans,Womens,60m,2013,Gotenburg,1,3,NA,Barbora Proch‡zkov‡,7.4,0.168,FastestQualifier
Europeans,Womens,60m,2013,Gotenburg,1,3,NA,Gloria Hooper,7.41,0.202,Eliminated
Europeans,Womens,60m,2013,Gotenburg,1,3,NA,Tatjana Pinto,7.41,0.15,Eliminated
Europeans,Womens,60m,2013,Gotenburg,1,3,NA,Mujinga Kambundji,7.42,0.157,Eliminated
Europeans,Womens,60m,2013,Gotenburg,1,3,NA,Tezdzhan Naimova,NA,NA,Disqualified
Europeans,Womens,60m,2013,Gotenburg,2,1,NA,Mariya Ryemyen,7.1,0.155,Qualified
