Competition,Sex,Event,Year,Venue,Round,Heat,Wind,Sprinter,FinishTime,ReactionTime,Result
Worlds,Mens,60m Hurdles,2014,Sopot,1,1,NA,Pascal MARTINOT-LAGARDE,7.56,0.183,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,1,NA,Erik BALNUWEIT,7.64,0.142,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,1,NA,Wenjun XIE,7.74,0.161,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,1,NA,Abdulaziz AL MANDEEL,7.74,0.163,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,1,NA,Paolo DAL MOLIN,7.76,0.188,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,1,NA,Amir SHAKER,7.96,0.187,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,1,NA,Rasul DABî,NA,0.148,DNF
Worlds,Mens,60m Hurdles,2014,Sopot,1,2,NA,Dominic BERGER,7.61,0.148,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,2,NA,Sergey SHUBENKOV,7.62,0.158,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,2,NA,Andrew RILEY,7.66,0.136,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,2,NA,Yordan L. O'FARRILL,7.75,0.154,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,2,NA,Jackson QUI„îNEZ,7.78,0.169,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,2,NA,Koen SMET,7.8,0.143,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,2,NA,Martin MAZçC,7.9,0.231,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,2,NA,Eslam ABDELATIF,8.69,0.188,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,3,NA,William SHARMAN,7.59,0.152,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,3,NA,Omo OSAGHAE,7.61,0.181,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,3,NA,Dominik BOCHENEK,7.68,0.14,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,3,NA,Konstantin SHABANOV,7.71,0.156,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,3,NA,Jhoanis PORTILLA,7.74,0.134,FastestQualifier
Worlds,Mens,60m Hurdles,2014,Sopot,1,3,NA,Aliaksandr LINNIK,7.79,0.148,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,3,NA,H_ctor COTTO,7.94,0.206,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,3,NA,Nelson Camilo ACEBEY,8.48,0.18,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,4,NA,Andrew POZZI,7.56,0.147,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,4,NA,Garfield DARIEN,7.56,0.181,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,4,NA,Bal‡zs BAJI,7.63,0.148,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,1,4,NA,Konstad’nos DOUVALêDIS,7.65,0.147,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,4,NA,Gregor TRABER,7.73,0.18,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,4,NA,Philip NOSSMY,7.92,0.16,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,4,NA,Kim Fai IONG,8.34,0.212,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,1,4,NA,Michael HERREROS,NA,0.237,Disqualified
Worlds,Mens,60m Hurdles,2014,Sopot,2,1,NA,Omo OSAGHAE,7.49,0.172,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,2,1,NA,Pascal MARTINOT-LAGARDE,7.5,0.168,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,2,1,NA,William SHARMAN,7.53,0.156,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,2,1,NA,Erik BALNUWEIT,7.54,0.136,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,2,1,NA,Konstad’nos DOUVALêDIS,7.62,0.148,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,2,1,NA,Bal‡zs BAJI,7.63,0.15,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,2,1,NA,Konstantin SHABANOV,7.67,0.173,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,2,1,NA,Wenjun XIE,7.71,0.131,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,2,2,NA,Garfield DARIEN,7.52,0.142,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,2,2,NA,Andrew POZZI,7.56,0.143,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,2,2,NA,Gregor TRABER,7.58,0.208,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,2,2,NA,Andrew RILEY,7.59,0.158,Qualified
Worlds,Mens,60m Hurdles,2014,Sopot,2,2,NA,Dominic BERGER,7.64,0.174,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,2,2,NA,Dominik BOCHENEK,7.66,0.131,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,2,2,NA,Sergey SHUBENKOV,7.66,0.147,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,2,2,NA,Jhoanis PORTILLA,8.03,0.142,Eliminated
Worlds,Mens,60m Hurdles,2014,Sopot,3,1,NA,Omo OSAGHAE,7.45,0.174,Gold
Worlds,Mens,60m Hurdles,2014,Sopot,3,1,NA,Pascal MARTINOT-LAGARDE,7.46,0.161,Silver
Worlds,Mens,60m Hurdles,2014,Sopot,3,1,NA,Garfield DARIEN,7.47,0.143,Bronze
Worlds,Mens,60m Hurdles,2014,Sopot,3,1,NA,Andrew POZZI,7.53,0.145,Finalist
Worlds,Mens,60m Hurdles,2014,Sopot,3,1,NA,Gregor TRABER,7.56,0.155,Finalist
Worlds,Mens,60m Hurdles,2014,Sopot,3,1,NA,Erik BALNUWEIT,7.56,0.144,Finalist
Worlds,Mens,60m Hurdles,2014,Sopot,3,1,NA,William SHARMAN,7.6,0.144,Finalist
Worlds,Mens,60m Hurdles,2014,Sopot,3,1,NA,Andrew RILEY,NA,NA,DNS
Worlds,Mens,60m Hurdles,2012,Istanbul,1,1,NA,Pascal MARTINOT-LAGARDE,7.66,0.191,Qualified
Worlds,Mens,60m Hurdles,2012,Istanbul,1,1,NA,Lehann FOURIE,7.67,0.205,Qualified
