Competition,Sex,Event,Year,Venue,Round,Heat,Wind,Sprinter,FinishTime,ReactionTime,Result
Worlds,Womens,200m,2013,Moscow,1,1,0,Kimberlyn DUNCAN,22.84,0.194,Qualified
Worlds,Womens,200m,2013,Moscow,1,1,0,Johanna DANOIS,23,0.179,Qualified
Worlds,Womens,200m,2013,Moscow,1,1,0,Hanna-Maari LATVALA,23.07,0.146,Qualified
Worlds,Womens,200m,2013,Moscow,1,1,0,Gloria HOOPER,23.1,0.171,Eliminated
Worlds,Womens,200m,2013,Moscow,1,1,0,Ana Claudia SILVA,23.31,0.163,Eliminated
Worlds,Womens,200m,2013,Moscow,1,1,0,Moa HJELMER,23.33,0.186,Eliminated
Worlds,Womens,200m,2013,Moscow,1,1,0,Janet AMPONSAH,24.07,0.18,Eliminated
Worlds,Womens,200m,2013,Moscow,1,2,0.1,Blessing OKAGBARE,22.79,0.153,Qualified
Worlds,Womens,200m,2013,Moscow,1,2,0.1,ChaRonda WILLIAMS,22.83,0.171,Qualified
Worlds,Womens,200m,2013,Moscow,1,2,0.1,Kimberly HYACINTHE,23.19,0.158,Qualified
Worlds,Womens,200m,2013,Moscow,1,2,0.1,Marika POPOWICZ,23.22,0.2,Eliminated
Worlds,Womens,200m,2013,Moscow,1,2,0.1,Kineke ALEXANDER,23.42,0.174,Eliminated
Worlds,Womens,200m,2013,Moscow,1,2,0.1,Viktoriya ZYABKINA,24.47,0.182,Eliminated
Worlds,Womens,200m,2013,Moscow,1,2,0.1,çngela TENORIO,NA,NA,DNS
Worlds,Womens,200m,2013,Moscow,1,3,0,Shaunae MILLER,22.72,0.152,Qualified
Worlds,Womens,200m,2013,Moscow,1,3,0,Patricia HALL,23.25,0.152,Qualified
Worlds,Womens,200m,2013,Moscow,1,3,0,Maria BELIMPASAKI,23.41,0.201,Qualified
Worlds,Womens,200m,2013,Moscow,1,3,0,Andreea OGRAZEANU,23.83,0.206,Eliminated
Worlds,Womens,200m,2013,Moscow,1,3,0,Isidora JIMƒNEZ,24.06,0.164,Eliminated
Worlds,Womens,200m,2013,Moscow,1,3,0,Afa ISMAIL,26.16,0.219,Eliminated
Worlds,Womens,200m,2013,Moscow,1,3,0,Yelena RYABOVA,NA,0.176,Disqualified
Worlds,Womens,200m,2013,Moscow,1,3,0,Crystal EMMANUEL,NA,0.147,Disqualified
Worlds,Womens,200m,2013,Moscow,1,4,0,Shelly-Ann FRASER-PRYCE,22.78,0.147,Qualified
Worlds,Womens,200m,2013,Moscow,1,4,0,Kai SELVON,23.14,0.191,Qualified
Worlds,Womens,200m,2013,Moscow,1,4,0,Franciela KRASUCKI,23.2,0.158,Eliminated
Worlds,Womens,200m,2013,Moscow,1,4,0,Justine PALFRAMAN,23.64,0.166,Eliminated
Worlds,Womens,200m,2013,Moscow,1,4,0,Chisato FUKUSHIMA,23.85,0.146,Eliminated
Worlds,Womens,200m,2013,Moscow,1,4,0,Melissa BREEN,23.95,0.155,Eliminated
Worlds,Womens,200m,2013,Moscow,1,4,0,Elyzaveta BRYZGINA,NA,0.201,Disqualified
Worlds,Womens,200m,2013,Moscow,1,5,-0.1,Mariya RYEMYEN,22.63,0.2,Qualified
Worlds,Womens,200m,2013,Moscow,1,5,-0.1,Anthonique STRACHAN,22.66,0.207,Qualified
Worlds,Womens,200m,2013,Moscow,1,5,-0.1, Lenora GUION-FIRMIN,22.91,0.155,Qualified
Worlds,Womens,200m,2013,Moscow,1,5,-0.1,Anyika ONUORA,23.36,0.161,Eliminated
Worlds,Womens,200m,2013,Moscow,1,5,-0.1,Olga BLUDOVA,23.83,0.147,Eliminated
Worlds,Womens,200m,2013,Moscow,1,5,-0.1,Eleni ARTYMATA,24.07,0.241,Eliminated
Worlds,Womens,200m,2013,Moscow,1,5,-0.1,Toea WISIL,24.23,0.167,Eliminated
Worlds,Womens,200m,2013,Moscow,1,6,0.3,Allyson FELIX,22.59,0.173,Qualified
Worlds,Womens,200m,2013,Moscow,1,6,0.3,Anneisha MCLAUGHLIN,22.78,0.14,Qualified
Worlds,Womens,200m,2013,Moscow,1,6,0.3,Myriam SOUMARƒ,22.83,0.149,Qualified
Worlds,Womens,200m,2013,Moscow,1,6,0.3,Jodie WILLIAMS,23,0.156,FastestQualifier
Worlds,Womens,200m,2013,Moscow,1,6,0.3,Nivea SMITH,23.25,0.182,Eliminated
Worlds,Womens,200m,2013,Moscow,1,6,0.3,Elizaveta SAVLINIS,23.27,0.159,Eliminated
Worlds,Womens,200m,2013,Moscow,1,6,0.3,Danah HUSSEIN,24.57,0.19,Eliminated
Worlds,Womens,200m,2013,Moscow,1,7,0.4,Murielle AHOURƒ,22.66,0.176,Qualified
Worlds,Womens,200m,2013,Moscow,1,7,0.4,Khrystyna STUY,22.86,0.198,Qualified
Worlds,Womens,200m,2013,Moscow,1,7,0.4,Jeneba TARMOH,22.88,0.144,Qualified
Worlds,Womens,200m,2013,Moscow,1,7,0.4,Ivet LALOVA,22.92,0.147,FastestQualifier
Worlds,Womens,200m,2013,Moscow,1,7,0.4,Mariely SçNCHEZ,23.05,0.166,FastestQualifier
Worlds,Womens,200m,2013,Moscow,1,7,0.4,Mujinga KAMBUNDJI,23.24,0.144,Eliminated
Worlds,Womens,200m,2013,Moscow,1,7,0.4,Karene KING,23.97,0.193,Eliminated
Worlds,Womens,200m,2013,Moscow,2,1,0,Murielle AHOURƒ,22.46,0.17,Qualified
Worlds,Womens,200m,2013,Moscow,2,1,0,Shaunae MILLER,22.64,0.145,Qualified
Worlds,Womens,200m,2013,Moscow,2,1,0,Jeneba TARMOH,22.7,0.16,FastestQualifier
Worlds,Womens,200m,2013,Moscow,2,1,0,Ivet LALOVA,22.81,0.145,Eliminated
Worlds,Womens,200m,2013,Moscow,2,1,0,Johanna DANOIS,23.15,0.19,Eliminated
Worlds,Womens,200m,2013,Moscow,2,1,0,Maria BELIMPASAKI,23.46,0.183,Eliminated
Worlds,Womens,200m,2013,Moscow,2,1,0,Anneisha MCLAUGHLIN,27.13,0.145,Eliminated
Worlds,Womens,200m,2013,Moscow,2,1,0,Elyzaveta BRYZGINA,NA,0.209,Disqualified
Worlds,Womens,200m,2013,Moscow,2,2,0,Allyson FELIX,22.3,0.184,Qualified
Worlds,Womens,200m,2013,Moscow,2,2,0,Blessing OKAGBARE,22.39,0.158,Qualified
Worlds,Womens,200m,2013,Moscow,2,2,0,Kimberlyn DUNCAN,22.91,0.188,Eliminated
Worlds,Womens,200m,2013,Moscow,2,2,0,Khrystyna STUY,22.98,0.186,Eliminated
Worlds,Womens,200m,2013,Moscow,2,2,0,Mariely SçNCHEZ,23.05,0.175,Eliminated
Worlds,Womens,200m,2013,Moscow,2,2,0,Lenora GUION-FIRMIN,23.11,0.15,Eliminated
Worlds,Womens,200m,2013,Moscow,2,2,0,Kai SELVON,23.21,0.191,Eliminated
