Competition,Sex,Event,Year,Venue,Round,Heat,Wind,Sprinter,FinishTime,ReactionTime,Result
Worlds,Womens,60m Hurdles,2014,Sopot,1,1,NA,Sally PEARSON,7.79,0.126,Qualified
Worlds,Womens,60m Hurdles,2014,Sopot,1,1,NA,Eline BERINGS,7.95,0.145,Qualified
Worlds,Womens,60m Hurdles,2014,Sopot,1,1,NA,Cindy ROLEDER,8.03,0.169,Qualified
Worlds,Womens,60m Hurdles,2014,Sopot,1,1,NA,Rosina HODDE,8.07,0.186,FastestQualifier
Worlds,Womens,60m Hurdles,2014,Sopot,1,1,NA,Monique MORGAN,8.1,0.167,FastestQualifier
Worlds,Womens,60m Hurdles,2014,Sopot,1,1,NA,Nooralotta NEZIRI,8.21,0.17,Eliminated
Worlds,Womens,60m Hurdles,2014,Sopot,1,1,NA,Anastassiya PILIPENKO,8.27,0.198,Eliminated
Worlds,Womens,60m Hurdles,2014,Sopot,1,2,NA,Nia ALI,7.87,0.149,Qualified
Worlds,Womens,60m Hurdles,2014,Sopot,1,2,NA,Yvette LEWIS,7.91,0.15,Qualified
Worlds,Womens,60m Hurdles,2014,Sopot,1,2,NA,Marzia CARAVELLI,7.97,0.173,Qualified
Worlds,Womens,60m Hurdles,2014,Sopot,1,2,NA,Indira SPENCE,8.14,0.174,Eliminated
Worlds,Womens,60m Hurdles,2014,Sopot,1,2,NA,Gnima FAYE,8.15,0.188,Eliminated
Worlds,Womens,60m Hurdles,2014,Sopot,1,2,NA,Hanna PLATITSYNA,8.15,0.181,Eliminated
Worlds,Womens,60m Hurdles,2014,Sopot,1,2,NA,Ekaterina GALITSKAIA,8.2,0.193,Eliminated
Worlds,Womens,60m Hurdles,2014,Sopot,1,3,NA,Cindy BILLAUD,7.87,0.252,Qualified
Worlds,Womens,60m Hurdles,2014,Sopot,1,3,NA,Janay DELOACH SOUKUP,8.01,0.183,Qualified
Worlds,Womens,60m Hurdles,2014,Sopot,1,3,NA,Yuliya KONDAKOVA,8.04,0.149,Qualified
Worlds,Womens,60m Hurdles,2014,Sopot,1,3,NA,Sara AERTS,8.05,0.204,FastestQualifier
Worlds,Womens,60m Hurdles,2014,Sopot,1,3,NA, Andrea IVANCEVIC,8.1,0.171,FastestQualifier
Worlds,Womens,60m Hurdles,2014,Sopot,1,3,NA,Matilda BOGDANOFF,8.12,0.165,Eliminated
Worlds,Womens,60m Hurdles,2014,Sopot,1,3,NA,Lavonne IDLETTE,8.16,0.131,Eliminated
Worlds,Womens,60m Hurdles,2014,Sopot,1,3,NA,Sharon KWARULA,8.71,0.221,Eliminated
Worlds,Womens,60m Hurdles,2014,Sopot,1,4,NA,Tiffany PORTER,7.95,0.145,Qualified
Worlds,Womens,60m Hurdles,2014,Sopot,1,4,NA,Nadine HILDEBRAND,7.98,0.176,Qualified
Worlds,Womens,60m Hurdles,2014,Sopot,1,4,NA,Marina TOMIC,8.07,0.156,Qualified
Worlds,Womens,60m Hurdles,2014,Sopot,1,4,NA,Giulia PENNELLA,8.16,0.228,Eliminated
Worlds,Womens,60m Hurdles,2014,Sopot,1,4,NA,Urszula BHEBHE,8.17,0.137,Eliminated
Worlds,Womens,60m Hurdles,2014,Sopot,1,4,NA,Beate SCHROTT,8.24,0.172,Eliminated
