Competition,Sex,Event,Year,Venue,Round,Heat,Wind,Sprinter,FT,RT,Result,RuleChange
Worlds,Mens,60m,2014,Sopot,1,1,NA,Gerald PHIRI,6.59,0.148,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,1,NA,Kimmari ROACH,6.59,0.17,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,1,NA,Marvin BRACY,6.6,0.216,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,1,NA,Fabio CERUTTI,6.67,0.127,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,1,NA,Tom KLING-BAPTISTE,6.72,0.164,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,1,NA,Sibusiso MATSENJWA,6.88,0.206,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,1,NA,Jean Thierie FERDINAND,6.98,0.158,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,2,NA,Bingtian SU,6.58,0.185,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,2,NA,Yoshihide KIRYU,6.65,0.164,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,2,NA,Trell KIMMONS,6.68,0.15,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,2,NA,Hassan TAFTIAN,6.69,0.185,FastestQualifier,2010-2014
Worlds,Mens,60m,2014,Sopot,1,2,NA,Adam ZAVACKY,6.71,0.153,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,2,NA,Odain ROSE,6.71,0.146,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,2,NA,Cristian LEGUIZAMON,7.02,0.216,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,3,NA,Jason ROGERS,6.59,0.135,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,3,NA,Warren FRASER,6.61,0.13,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,3,NA,Peimeng ZHANG,6.65,0.153,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,3,NA,Remigiusz OLSZEWSKI,6.69,0.166,FastestQualifier,2010-2014
Worlds,Mens,60m,2014,Sopot,1,3,NA,T.J. LAWRENCE,6.74,0.151,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,3,NA,Gregory BRADAI,7.3,0.187,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,3,NA,Yonder NAMELO,7.56,0.203,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,3,NA,Solomon BOCKARIE,NA,NA,DNS,2010-2014
Worlds,Mens,60m,2014,Sopot,1,4,NA,Richard KILTY,6.53,0.122,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,4,NA,Reza GHASEMI,6.58,0.156,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,4,NA,Nesta CARTER,6.58,0.172,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,4,NA,Barakat Mubarak AL-HARTHI,6.69,0.175,FastestQualifier,2010-2014
Worlds,Mens,60m,2014,Sopot,1,4,NA,Samuel FRANCIS,6.69,0.143,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,4,NA,Calvin KANG LI LOONG,6.75,0.139,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,4,NA,Benjamin VELIZ,7.27,0.199,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,4,NA,Jamodre LALITA,7.72,0.28,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,5,NA,Lucas JAKUBCZYK,6.57,0.143,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,5,NA,Dariusz KUC,6.58,0.137,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,5,NA,Femi OGUNODE,6.63,0.19,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,5,NA,Adrian GRIFFITH,6.69,0.215,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,5,NA,Rolando PALACIOS,6.78,0.155,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,5,NA,Paul WILLIAMS,6.82,0.15,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,5,NA,Ddoyd BROWN,7.47,0.186,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,6,NA,Dwain CHAMBERS,6.57,0.144,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,6,NA,Adam HARRIS,6.62,0.147,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,6,NA,Gavin SMELLIE,6.63,0.13,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,1,6,NA,Brijesh LAWRENCE,6.64,0.123,FastestQualifier,2010-2014
Worlds,Mens,60m,2014,Sopot,1,6,NA,Gabriel MVUMVURE,6.64,0.138,FastestQualifier,2010-2014
Worlds,Mens,60m,2014,Sopot,1,6,NA,Riste PANDEV,7,0.185,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,1,6,NA,Faresa KAPISI,7.14,0.176,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,1,NA,Nesta CARTER,6.5,0.139,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,2,1,NA,Richard KILTY,6.52,0.122,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,2,1,NA,Gabriel MVUMVURE,6.6,0.134,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,1,NA,Trell KIMMONS,6.62,0.129,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,1,NA,Jason ROGERS,6.62,0.161,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,1,NA,Yoshihide KIRYU,6.62,0.142,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,1,NA,Reza GHASEMI,6.62,0.175,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,1,NA,Remigiusz OLSZEWSKI,6.66,0.152,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Femi OGUNODE,6.55,0.171,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Kimmari ROACH,6.55,0.15,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Bingtian SU,6.57,0.18,FastestQualifier,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Dwain CHAMBERS,6.58,0.138,FastestQualifier,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Warren FRASER,6.59,0.151,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Hassan TAFTIAN,6.67,0.171,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Fabio CERUTTI,6.71,0.136,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Gavin SMELLIE,6.74,0.124,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,3,NA,Marvin BRACY,6.52,0.149,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,2,3,NA,Gerald PHIRI,6.57,0.154,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,2,3,NA,Adam HARRIS,6.59,0.161,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,3,NA,Lucas JAKUBCZYK,6.6,0.158,Eliminated,2010-2014
